episode,train_return,eval_return,epsilon,loss
1,0.0,0.0,0.99604,nan
2,0.0,0.0,0.99208,nan
3,0.0,0.0,0.98812,0.3133983910083771
4,0.0,0.0,0.98416,0.12530406539638836
5,1.0,0.0,0.9802,0.025053784996271134
6,0.0,0.0,0.97624,0.022525600157678127
7,0.0,0.0,0.97228,0.009948215447366238
8,0.0,0.0,0.96832,0.021283814683556557
9,0.0,0.0,0.96436,0.015290709857184153
10,0.0,0.0,0.9604,0.008803331509365566
11,0.0,0.0,0.95644,0.009303510533010756
12,0.0,0.0,0.95248,0.013841100037097931
13,0.0,0.0,0.94852,0.007335530070122331
14,0.0,0.0,0.94456,0.01188409561291337
15,0.0,0.0,0.9406,0.0015246184581580262
16,0.0,0.0,0.93664,0.0037539413024205714
17,0.0,0.0,0.93268,0.0018919248499774507
18,0.0,1.0,0.92872,0.0039812602250700975
