episode,train_return,eval_return,epsilon,loss
1,0.0,0.0,0.99604,nan
2,0.0,0.0,0.99208,nan
3,0.0,0.0,0.98812,nan
4,0.0,0.0,0.98416,nan
5,0.0,0.0,0.9802,nan
6,0.0,0.0,0.97624,0.31109224259853363
7,0.0,0.0,0.97228,0.1006772546645473
8,0.0,0.0,0.96832,0.02872749767266214
9,0.0,0.0,0.96436,0.03125107623636723
10,0.0,0.0,0.9604,0.03309811061869065
11,0.0,0.0,0.95644,0.025562738068401814
12,0.0,0.0,0.95248,0.03097142092883587
13,0.0,0.0,0.94852,0.031766709926373815
14,0.0,0.0,0.94456,0.02592296197133906
15,0.0,0.0,0.9406,0.018349976278841496
16,0.0,0.0,0.93664,0.02033877931535244
17,0.0,0.0,0.93268,0.023877790779806674
18,0.0,0.0,0.92872,0.03109457902610302
19,0.0,0.0,0.92476,0.017985306059320767
20,0.0,0.0,0.9208,0.02397949006408453
21,0.0,0.0,0.91684,0.02071261324454099
22,0.0,0.0,0.91288,0.028125912882387638
23,0.0,0.0,0.90892,0.02135475296527147
24,0.0,0.0,0.90496,0.021883913914539983
25,1.0,0.0,0.901,0.015775206160138954
26,0.0,0.0,0.8970400000000001,0.016484683379530907
27,0.0,0.0,0.89308,0.013733689207583666
28,0.0,0.0,0.88912,0.04325437359511852
29,0.0,0.0,0.88516,0.02262551337480545
30,0.0,0.0,0.8812,0.015336478780955076
31,0.0,0.1,0.87724,0.013209242932498455
32,0.0,0.1,0.8732800000000001,0.013289653137326241
33,0.0,0.0,0.86932,0.01376271020853892
34,0.0,0.0,0.86536,0.015328272012993693
35,0.0,0.0,0.8613999999999999,0.015327462926506996
36,0.0,0.1,0.85744,0.01016011523703734
37,0.0,0.1,0.85348,0.014411487150937319
38,0.0,0.2,0.84952,0.01335128378839447
39,0.0,0.0,0.84556,0.016407352755777538
40,0.0,0.0,0.8416,0.01536953255820733
41,0.0,0.0,0.8376399999999999,0.015997029036622156
42,0.0,0.0,0.83368,0.01827955397311598
43,0.0,0.2,0.82972,0.024483754765242338
44,0.0,0.0,0.82576,0.02682146441657096
45,0.0,0.0,0.8218,0.020889373496174812
46,0.0,0.2,0.81784,0.019153257831931114
47,0.0,0.0,0.8138799999999999,0.021092517094479665
48,0.0,0.1,0.80992,0.02314949097732703
49,0.0,0.1,0.80596,0.022532266875108082
50,0.0,0.1,0.802,0.031083490699529648
51,0.0,0.1,0.7980400000000001,0.02828975673764944
52,0.0,0.2,0.79408,0.022041158617607186
53,0.0,0.1,0.79012,0.020709379855543376
54,0.0,0.1,0.78616,0.025953753851354122
55,0.0,0.1,0.7822,0.013095960952341557
56,0.0,0.2,0.77824,0.014353276696056128
57,0.0,0.5,0.77428,0.012671755868251677
58,0.0,0.5,0.77032,0.010373002087528055
59,0.0,0.4,0.76636,0.007506407424807548
60,0.0,0.2,0.7624,0.0073867193423211575
61,0.0,0.4,0.75844,0.005244485661387443
62,0.0,0.2,0.75448,0.00591569795506075
63,0.0,0.3,0.75052,0.006036831283320983
64,0.0,0.9,0.74656,0.00898388953646645
