episode,train_return,eval_return,epsilon,loss
1,-87.65766065120701,38.33891848593483,0.99525,0.07709292635520208
2,-85.98574554547668,-44.539878547891284,0.9905,0.026887135210854465
3,-86.39506589472292,-71.35523298683165,0.98575,0.012338468116213334
4,-88.5284235209226,-88.44163547873495,0.981,0.006879191036787234
5,-86.70351291000837,-70.83503085791715,0.97625,0.0025562586408159403
6,-87.07864185301584,-70.83503085791715,0.9715,0.0005392677880627162
7,-87.60792020559309,-70.83503085791715,0.96675,0.00023484897828893737
8,-86.32689192295074,-70.83503085791715,0.962,0.00015251435614118235
9,-87.15927802324293,-70.83503085791715,0.95725,0.00011584403584492975
10,-87.45811106562611,-70.83503085791715,0.9525,0.0001177279524927144
11,-87.81844335198402,-70.89471147055622,0.94775,0.00010113806079971255
12,-86.6683422982693,-71.02817184331478,0.9430000000000001,8.63752785608085e-05
13,-86.2648053705692,-71.1481447208055,0.93825,7.306120696739526e-05
14,-84.24470662605009,-71.0271060626395,0.9335,6.903256867190067e-05
15,-89.581013917923,-70.9356590859883,0.92875,7.462089138243755e-05
16,-81.9222918351647,-70.83503085791715,0.924,8.176269046089146e-05
17,-85.28659723997116,-70.83503085791715,0.91925,8.184551797057793e-05
18,-85.78712845444677,-70.83503085791715,0.9145,6.820568553848716e-05
19,-86.81766065359119,-70.83503085791715,0.9097500000000001,8.160797350683425e-05
20,-85.99365964531893,-70.83503085791715,0.905,0.00010072351550661551
21,-83.56015423238276,-70.83503085791715,0.90025,0.00010436461582685296
22,-86.6262505173683,-70.83503085791715,0.8955,0.00011370765873834899
23,-86.89188948869707,-70.83503085791715,0.89075,0.00010885803585551912
24,-86.40114807486535,-70.83503085791715,0.886,0.00011966051861236337
25,-82.85703514828343,-70.83503085791715,0.88125,0.00016264053960185265
26,-86.37119901776316,-70.83503085791715,0.8765000000000001,0.00016642973379930482
27,-84.19607609808445,-70.83503085791715,0.87175,0.00010626243510159838
28,-51.20132504166103,-88.47565392971038,0.867,0.003809048790053566
29,-86.8363107847049,-88.47565392971038,0.86225,0.016546736273412535
30,-87.69184573292733,-70.83503085791715,0.8575,0.013468142800556962
31,-83.71509864765682,-70.83503085791715,0.85275,0.014508663677552248
32,-84.26240758784115,-88.47565392971038,0.848,0.01555119496100815
33,-84.07781169414521,-70.83503085791715,0.84325,0.011227286394278052
34,-85.33096678256996,-70.83503085791715,0.8385,0.010790641931525896
35,-82.68297077715398,-70.83503085791715,0.83375,0.011358852414268768
36,-83.20958820581436,-70.83503085791715,0.829,0.0123332056729123
37,-24.938746107835325,97.89346987937695,0.82425,0.016279521477990784
38,11.762658399529768,88.67916646157333,0.8195,0.0349010066158371
39,-85.2802854627371,151.23560499333894,0.81475,0.0530283950350713
